07/10/2018,634095b2-c739-4789-8de9-02aeffa503dd,GB,58.96,72,,PayPal
07/11/2018,1b85072b-3a54-4bfe-b49e-25d0022a223d,GB,60.9,72,,PayPal
07/11/2018,dcb12c58-b747-469e-9510-f4f0c2ea0517,US,44.09,68.44,,PayPal
07/12/2018,6a0aa3d6-aef0-45a7-a4d3-7cd8d0a49247,DE,50,69.62,,Google play
07/19/2018,f7ba30a3-e026-4f49-a619-e8e6c5e6b38d,DE,50,86.14,,PayPal
07/19/2018,f63ad73a-a5cd-4175-bf49-6713fc1ec0f5,DE,50,61.36,,PayPal
07/23/2018,71235368-b3f1-4901-a705-d95196fb726e,GB,58.6,135.7,,PayPal
07/23/2018,1d2284da-0838-4316-8e7b-65880e3516f6,GB,58.6,71.98,,PayPal
07/25/2018,b28765bb-10c1-44ed-92a7-a0a563a63657,US,44.22,63.72,,PayPal
07/30/2018,a7cc1fe5-abc4-4848-95cf-96fec152fd0d,AU,33.23,49.56,,PayPal
07/30/2018,384c88d0-50be-4494-978f-f1f62c804fc6 ,GB,58.53,115.64,,PayPal
08/09/2018,19e710a8-48fa-42e9-b6e2-de6429355277,GB,58,126.26,,PayPal
08/09/2018,bfda4a04-8e55-4e70-81f5-69ee944bf5ae,GB,58,86.14,,PayPal
08/17/2018,33fcb112-df7c-4217-9c29-042fe99d905f,GB,58.28,130.98,,PayPal
08/17/2018,22bfe4f0-ae9d-46f5-ba83-f6f791e8ea45 ,GB,58.28,76.7,,PayPal
08/17/2018,daf36c21-8906-4acb-97fe-520f54d5cc00,US,45.47,83.78,,PayPal
08/17/2018,a9f29c95-98b3-4b27-801c-1f4169d1fda6,DE,50,88.5,,PayPal
08/20/2018,3817a62d-514b-4982-9f01-c71cc132f65f,GB,58.19,70.8,,PayPal
08/20/2018,bccf1652-c2fb-48f0-b7ae-25e1ef0d5c63,PL,50,74.34,,PayPal
